formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,pdf_file,pdf_downloaded
Ru,peroxidase,,20-30,20-30,20-30,,0.234,mM,4.95,μM min-1,text,TMB + H2O2,0.05,0.15,0.1,mM,10.0,μg mL−1,7.4,,10.1039/C7RA10370K,C7RA10370K,1,Mimicking horseradish peroxidase and oxidase using ruthenium nanomaterials,RSC Advances,2017,data/pdfs/pdf_nanozymes/C7RA10370K.pdf,True
Ru,peroxidase,,20-30,20-30,20-30,,2.206,mM,35.0,μM min-1,text,H2O2 + TMB,0.05,0.2,0.1,mM,10.0,μg mL−1,7.4,,10.1039/C7RA10370K,C7RA10370K,1,Mimicking horseradish peroxidase and oxidase using ruthenium nanomaterials,RSC Advances,2017,data/pdfs/pdf_nanozymes/C7RA10370K.pdf,True
Ru,oxidase,,20-30,20-30,20-30,,54.92,mM,0.57,μM min-1,text,TMB,0.05,0.5,,,50.0,μg mL−1,7.4,,10.1039/C7RA10370K,C7RA10370K,1,Mimicking horseradish peroxidase and oxidase using ruthenium nanomaterials,RSC Advances,2017,data/pdfs/pdf_nanozymes/C7RA10370K.pdf,True
Ru,oxidase,,20-30,20-30,20-30,,0.155,mM,2.33,μM min-1,text,NaA,0.05,0.2,,,50.0,μg mL−1,7.4,,10.1039/C7RA10370K,C7RA10370K,1,Mimicking horseradish peroxidase and oxidase using ruthenium nanomaterials,RSC Advances,2017,data/pdfs/pdf_nanozymes/C7RA10370K.pdf,True
Fe3O4,peroxidase,,89.8,89.8,89.8,,1.06,mM,16.8,10-8 M s-1,text,TMB + H2O2,0.0,0.8,100.0,mM,0.2,μg,4.5,,10.1039/C8RA05487H,C8RA05487H,1,A cobalt-doped iron oxide nanozyme as a highly active peroxidase for renal tumor catalytic therapy,RSC Advances,2019,data/pdfs/pdf_nanozymes/C8RA05487H.pdf,True
Fe3O4,peroxidase,,89.8,89.8,89.8,,56.89,mM,59.6,10-8 M s-1,text,H2O2 + TMB,0.0,600.0,0.8,mM,0.2,μg,4.5,,10.1039/C8RA05487H,C8RA05487H,1,A cobalt-doped iron oxide nanozyme as a highly active peroxidase for renal tumor catalytic therapy,RSC Advances,2019,data/pdfs/pdf_nanozymes/C8RA05487H.pdf,True
Co@Fe3O4,peroxidase,,94.6,94.6,94.6,,1.17,mM,37.9,10-8 M s-1,text,TMB + H2O2,0.0,0.8,100.0,mM,0.2,μg,4.5,,10.1039/C8RA05487H,C8RA05487H,1,A cobalt-doped iron oxide nanozyme as a highly active peroxidase for renal tumor catalytic therapy,RSC Advances,2019,data/pdfs/pdf_nanozymes/C8RA05487H.pdf,True
Co@Fe3O4,peroxidase,,94.6,94.6,94.6,,0.19,mM,71.5,10-8 M s-1,text,H2O2 + TMB,0.0,600.0,0.8,mM,0.2,μg,4.5,,10.1039/C8RA05487H,C8RA05487H,1,A cobalt-doped iron oxide nanozyme as a highly active peroxidase for renal tumor catalytic therapy,RSC Advances,2019,data/pdfs/pdf_nanozymes/C8RA05487H.pdf,True
Mn3O4,oxidase,,800,800,800,,0.02715,mM,127.0,nM s-1,text,TMB,0.0,0.4,,,5.0,μg mL−1,4.5,37.0,10.1039/C9RA01227C,C9RA01227C,1,Mn<sub>3</sub>O<sub>4</sub> microspheres as an oxidase mimic for rapid detection of glutathione,RSC Advances,2019,data/pdfs/pdf_nanozymes/C9RA01227C.pdf,True
Ir,peroxidase,,2.4,2.4,2.4,,0.12,mM,12.6,10-8 M s-1,si,TMB + H2O2,0.0,0.25,2.0,mM,25.0,μg mL−1,4.0,20.0,10.1039/D0RA05342B,D0RA05342B,1,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020,data/pdfs/pdf_nanozymes/D0RA05342B.pdf,True
Ir,peroxidase,,2.4,2.4,2.4,,3.27,mM,22.6,10-8 M s-1,si,H2O2 + TMB,0.0,2.5,0.25,mM,25.0,μg mL−1,4.0,20.0,10.1039/D0RA05342B,D0RA05342B,1,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020,data/pdfs/pdf_nanozymes/D0RA05342B.pdf,True
Fe2O3@CoNi,peroxidase,,700,700,700,,0.23,mM,1.35e-07,M s-1,text,TMB + H2O2,0.25,2.5,130.0,mM,3.0,mg mL−1,6.0,20.0,10.1039/D1RA03456A,D1RA03456A,1,Sweetsop-like Î±-Fe<sub>2</sub>O<sub>3</sub>@CoNi catalyst with superior peroxidase-like activity for sensitive and selective detection of hydroquinone,RSC Advances,2021,data/pdfs/pdf_nanozymes/D1RA03456A.pdf,True
Fe2O3@CoNi,peroxidase,,700,700,700,,0.42,mM,9.3e-08,M s-1,text,H2O2 + TMB,6.0,165.0,0.35,mM,3.0,mg mL−1,6.0,20.0,10.1039/D1RA03456A,D1RA03456A,1,Sweetsop-like Î±-Fe<sub>2</sub>O<sub>3</sub>@CoNi catalyst with superior peroxidase-like activity for sensitive and selective detection of hydroquinone,RSC Advances,2021,data/pdfs/pdf_nanozymes/D1RA03456A.pdf,True
Tb4O7,oxidase,,200,200,200,,0.000124,M,4.31e-08,M/s,text,TMB,0.1,1.6,,,,,3.6,25.0,10.1186/s12951-019-0487-x,S129510190487X,1,Bactericidal effects and accelerated wound healing using Tb4O7 nanoparticles with intrinsic oxidase-like activity,Journal of Nanobiotechnology,2019,data/pdfs/pdf_nanozymes/S129510190487X.pdf,True
CeO2,peroxidase,cubic,13,13,13,,0.217,mM,8.2e-05,M/s,text,TMB + H2O2,0.0,2.5,1000.0,mM,0.025,μg in 1mL,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,13,13,13,,153.6,mM,0.000122,M/s,text,H2O2 + TMB,0.0,2000.0,0.5,μmol,24.0,μg ,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,10,10,10,,,,,,text,H2O2 + TMB,0.0,2000.0,0.5,μmol,24.0,μg ,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,10,10,10,,0.24,mM,4e-06,M/s,text,TMB + H2O2,0.0,2.5,1000.0,mM,0.025,μg in 1mL,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
Au0.75Pt0.25,oxidase,cubic,20,20,20,,0.02,mM,6.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.5Pt0.5,oxidase,cubic,25,25,25,,0.048,mM,17.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.25Pt0.75,oxidase,cubic,30,30,30,,0.16,mM,173.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.15Pt0.85,oxidase,cubic,40,40,40,,0.23,mM,181.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Pt,oxidase,cubic,45,45,45,,0.53,mM,327.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
LaNiO3,peroxidase,,600,600,600,PVP,0.105,mM,0.000362,Ms-1,si,TMB + H2O2,0.0,0.6,10.0,mM,1.0,mg/ml,4.5,55.0,10.7150/thno.19257,THNO.19257,1,Boosting the Peroxidase-Like Activity of Nanostructured Nickel by Inducing Its 3+ Oxidation State in LaNiO<sub>3</sub> Perovskite and Its Application for Biomedical Assays,Theranostics,2017,data/pdfs/pdf_nanozymes/THNO.19257.pdf,True
LaNiO3,peroxidase,,600,600,600,PVP,90.05,mM,0.0026,Ms-1,si,H2O2 + TMB,0.0,500.0,0.8,mM,1.0,mg/ml,4.5,55.0,10.7150/thno.19257,THNO.19257,1,Boosting the Peroxidase-Like Activity of Nanostructured Nickel by Inducing Its 3+ Oxidation State in LaNiO<sub>3</sub> Perovskite and Its Application for Biomedical Assays,Theranostics,2017,data/pdfs/pdf_nanozymes/THNO.19257.pdf,True
