smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4f,MIC,'=',256,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4c,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4d,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4b,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4a,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4e,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6nc(C)cc(C)n6)cc5)nn4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6a,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ncccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6b,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ccccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6c,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5nccs5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6d,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6onc(C)c6C)cc5)nn4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6e,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)NC(=N)N)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6f,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4f,MIC,'=',512,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4c,MIC,'=',128,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4d,MIC,'=',128,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4b,MIC,'=',128,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4a,MIC,'=',64,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4e,MIC,'=',128,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6nc(C)cc(C)n6)cc5)nn4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6a,MIC,'=',32,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ncccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6b,MIC,'=',64,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ccccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6c,MIC,'=',64,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5nccs5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6d,MIC,'=',64,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6onc(C)c6C)cc5)nn4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6e,MIC,'=',64,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)NC(=N)N)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6f,MIC,'=',256,µg/mL,Sa,Staphylococcus aureus,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1
